,userid,score,br_annotation,br_reading_action,vc_success_run,vc_failed_run,vc_action,vc_error_type,P_oj.Accept,P_oj.CompileError,P_oj.RuntimeError,P_oj.TimeLimitExceeded,P_oj.WrongAnswer,E_oj.Accept,E_oj.CompileError,E_oj.RuntimeError,E_oj.TimeLimitExceeded,E_oj.WrongAnswer,RS_accept,RS_wrong,AS_accept,AS_wrong,intrinsic_前,extrinsic_前,task_value_前,control_beliefs_前,self_efficacy_前,test_anxiety_前,intrinsic_後,extrinsic_後,task_value_後,control_beliefs_後,self_efficacy_後,test_anxiety_後,rehearsal_前,elaboration_前,organization_前,critical_thinking_前,metacognitive_self_regulation_前,time_environment_前,effort_regulation_前,peer_learning_前,help_seeking_前,rehearsal_後,elaboration_後,organization_後,critical_thinking_後,metacognitive_self_regulation_後,time_environment_後,effort_regulation_後,peer_learning_後,help_seeking_後,內在_C1(變數與資料型態),外在_C1(變數與資料型態),增生_C1(變數與資料型態),內在_C2(數值與字串型態運用),外在_C2(數值與字串型態運用),增生_C2(數值與字串型態運用),內在_C3(串列List),外在_C3(串列List),增生_C3(串列List),內在_C4(IF選擇),外在_C4(IF選擇),增生_C4(IF選擇),內在_C5&6(For&While),外在_C5&6(For&While),增生_C5&6(For&While),內在_C7(Dictionary),外在_C7(Dictionary),增生_C7(Dictionary),內在_C8(Function),外在_C8(Function),增生_C8(Function),內在_Git&GitHub,外在_Git&GitHub,增生_Git&GitHub
0,108408524,50.0,34.0,2110.0,444.0,81.0,84.0,4.0,43.0,18.0,23.0,0.0,77.0,29.0,0.0,23.0,0.0,18.0,35.0,50.0,68.0,43.0,4.25,2.75,3.83,3.5,2.88,3.4,3.75,3.0,4.0,3.75,3.75,3.4,3.75,3.67,3.5,3.4,3.42,3.5,4.0,2.33,2.5,4.0,4.0,4.5,3.6,3.75,3.88,3.75,1.67,2.25,3.0,2.33,8.5,,,,,,,,,,7.33,2.0,5.25,6.33,1.0,6.75,6.33,1.33,7.75,,,
1,109101008,83.0,162.0,4645.0,126.0,139.0,32.0,6.0,52.0,74.0,74.0,1.0,66.0,33.0,101.0,106.0,0.0,69.0,57.0,97.0,130.0,100.0,3.75,5.0,4.0,3.25,3.25,2.8,3.5,4.0,4.5,4.25,2.75,3.0,4.0,3.83,3.5,2.8,3.42,4.0,4.0,4.33,4.25,4.25,4.17,3.75,3.2,3.75,4.38,3.75,3.67,4.25,2.33,2.33,7.0,4.0,3.33,7.25,3.0,1.67,9.0,1.0,1.0,9.25,3.33,1.33,8.75,2.0,1.0,9.5,,,,,,
2,109102202,60.0,22.0,2195.0,17.0,11.0,42.0,3.0,15.0,15.0,4.0,0.0,30.0,24.0,30.0,5.0,0.0,30.0,76.0,104.0,62.0,29.0,3.25,4.5,4.17,3.75,2.88,3.2,2.25,4.0,4.33,2.25,3.12,4.0,4.0,3.83,3.75,3.4,3.5,3.38,4.0,2.33,3.0,3.75,3.5,3.25,2.8,3.92,2.88,3.75,2.0,2.25,,,,6.0,1.0,4.0,6.0,4.33,6.0,,,,8.0,4.0,6.0,5.33,3.0,7.0,,,,,,
3,109201525,96.0,56.0,4891.0,601.0,84.0,214.0,8.0,136.0,21.0,22.0,1.0,84.0,110.0,8.0,24.0,0.0,83.0,152.0,310.0,321.0,65.0,5.0,2.5,4.5,4.75,4.88,1.8,5.0,3.5,4.0,4.25,4.5,1.4,,,,,,,,,,5.0,5.0,5.0,5.0,4.0,3.5,3.0,5.0,4.0,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,7.75,2.0,2.0,10.0,,,,1.67,2.0,9.0
4,109202513,91.0,187.0,3714.0,860.0,101.0,100.0,4.0,50.0,3.0,19.0,0.0,45.0,38.0,5.0,15.0,2.0,17.0,36.0,50.0,77.0,19.0,3.75,4.0,4.0,3.0,3.12,3.8,,,,,,,,,,,,,,,,4.0,4.0,4.0,3.8,3.75,3.62,4.0,3.67,3.5,4.33,3.33,6.75,3.67,3.0,6.0,5.0,3.0,6.0,5.0,4.0,5.0,5.0,2.67,7.5,5.0,2.33,7.5,,,,,,
5,109203013,95.0,59.0,5390.0,366.0,69.0,66.0,7.0,45.0,7.0,8.0,4.0,21.0,33.0,1.0,2.0,1.0,20.0,68.0,174.0,58.0,26.0,5.0,4.0,3.33,4.0,4.0,5.0,4.0,4.75,4.17,4.0,4.0,3.8,4.0,4.0,4.0,4.0,3.92,3.25,3.5,3.0,3.25,4.0,4.0,4.0,4.0,3.83,3.5,3.75,3.0,3.5,3.67,3.0,8.0,,,,5.0,3.0,8.0,5.0,2.0,8.0,6.0,3.0,8.0,6.0,3.0,8.0,,,,,,
6,109401001,93.0,64.0,923.0,229.0,60.0,76.0,7.0,48.0,10.0,16.0,1.0,37.0,33.0,3.0,0.0,0.0,8.0,76.0,96.0,42.0,6.0,4.0,4.0,3.17,3.75,3.62,4.0,3.5,4.0,3.33,4.0,4.0,3.6,3.25,3.67,3.75,4.0,3.67,3.62,3.5,2.67,3.5,3.75,3.83,4.0,4.0,3.5,3.12,3.0,2.67,3.25,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.75,5.0,4.33,5.0,5.0,5.0,5.0,5.0,4.33,5.0,4.67,4.33,5.0
7,109401518,85.0,109.0,1811.0,369.0,44.0,94.0,6.0,48.0,6.0,16.0,0.0,25.0,37.0,21.0,19.0,0.0,22.0,36.0,53.0,57.0,18.0,5.0,2.75,5.0,5.0,4.38,1.0,5.0,1.75,5.0,5.0,3.62,1.0,4.0,4.0,4.0,4.0,4.0,4.5,5.0,3.67,3.5,3.5,3.17,4.5,3.8,4.0,3.62,5.0,1.67,1.75,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,,,,1.0,1.0,10.0
8,109401538,72.0,19.0,2319.0,203.0,59.0,64.0,5.0,43.0,9.0,5.0,0.0,15.0,29.0,2.0,1.0,0.0,7.0,48.0,43.0,45.0,26.0,4.0,3.5,4.0,3.5,3.38,3.6,3.25,3.0,2.5,2.5,2.75,3.4,3.25,3.67,3.0,3.6,3.42,3.62,3.75,3.33,3.5,3.0,3.17,3.0,3.8,3.25,3.5,2.75,3.0,4.0,,,,7.33,5.67,6.0,10.0,8.33,7.25,7.0,6.0,6.75,9.0,8.0,7.0,8.0,7.67,7.25,8.67,7.67,6.25,,,
9,109401546,81.0,22.0,3414.0,145.0,21.0,64.0,5.0,53.0,7.0,2.0,0.0,35.0,38.0,4.0,3.0,0.0,18.0,49.0,47.0,56.0,16.0,,,,,,,2.75,3.0,3.0,3.0,1.62,3.8,,,,,,,,,,3.75,3.0,3.0,3.2,3.0,3.0,3.25,3.67,3.5,,,,7.0,6.33,5.0,8.0,7.0,4.0,6.0,5.67,5.0,7.0,7.0,5.0,7.0,6.33,5.0,7.0,5.0,5.0,,,
